Ёлемент	N	WL	I	Source	Ion
Ac,	235951,	200,	1,	m,	1
Ac,	235952,	262.644,	5000,	,	1
Ac,	235953,	295.255,	4000,	,	1
Ac,	235954,	304.33000000000004,	1000,	,	2
Ac,	235955,	315.309,	1000,	,	2
Ac,	235956,	315.441,	1000,	,	2
Ac,	235957,	316.481,	500,	,	2
Ac,	235958,	326.091,	1000,	,	2
Ac,	235959,	339.278,	3000,	,	1
Ac,	235960,	341.777,	600,	,	2
Ac,	235961,	348.116,	1000,	,	2
Ac,	235962,	348.759,	4000,	,	1
Ac,	235963,	356.559,	2000,	,	2
Ac,	235964,	386.312,	3000,	,	2
Ac,	235965,	406.15999999999997,	500,	,	2
Ac,	235966,	408.844,	3000,	,	2
Ac,	235967,	416.84,	2000,	,	2
Ac,	235968,	438.64099999999996,	1500,	,	2
Ac,	235969,	441.309,	3000,	,	1
Ac,	235970,	445.21899999999994,	700,	,	2
Ac,	235971,	450.71999999999997,	2000,	,	2
Ac,	235972,	456.98699999999997,	4000,	,	1
Ac,	235973,	460.54499999999996,	1000,	,	2
Ac,	235974,	472.01599999999996,	1000,	,	2
Ac,	235975,	481.22200000000004,	600,	,	2
Ac,	235976,	960.1,	1,	m,	1
Ag,	235977,	200.024,	60,	c,	3
Ag,	235978,	200.068,	20,	a,	2
Ag,	235979,	201.149,	20,	c,	3
Ag,	235980,	201.589,	15,	a,	2
Ag,	235981,	203.392,	15,	a,	2
Ag,	235982,	205.7,	20,	c,	3
Ag,	235983,	206.11700000000002,	200,	a,	1
Ag,	235984,	206.59099999999998,	40,	a,	2
Ag,	235985,	206.983,	100,	a,	1
Ag,	235986,	207.561,	10,	a,	2
Ag,	235987,	208.10500000000002,	20,	c,	3
Ag,	235988,	230.964,	30,	a,	1
Ag,	235989,	237.506,	50,	a,	1
Ag,	235990,	243.779,	8,	m,	2
Ag,	235991,	253.531,	30,	s,	2
Ag,	235992,	257.57399999999996,	50,	a,	1
Ag,	235993,	272.177,	6,	m,	1
Ag,	235994,	274.39,	15,	s,	2
Ag,	235995,	282.437,	100,	a,	1
Ag,	235996,	292.935,	30,	s,	2
Ag,	235997,	309.912,	20,	a,	1
Ag,	235998,	313.00100000000003,	30,	a,	1
Ag,	235999,	317.058,	10,	a,	1
Ag,	236000,	328.068,	5500,	m,	1
Ag,	236001,	338.289,	2800,	m,	1
Ag,	236002,	346.921,	30,	a,	1
Ag,	236003,	350.809,	20,	a,	1
Ag,	236004,	354.261,	50,	a,	1
Ag,	236005,	362.471,	50,	a,	1
Ag,	236006,	368.24699999999996,	30,	a,	1
Ag,	236007,	370.925,	50,	a,	1
Ag,	236008,	381.086,	200,	a,	1
Ag,	236009,	381.178,	50,	a,	1
Ag,	236010,	384.08000000000004,	100,	a,	1
Ag,	236011,	398.164,	100,	a,	1
Ag,	236012,	405.546,	1000,	a,	1
Ag,	236013,	421.09399999999994,	9,	m,	1
Ag,	236014,	421.26800000000003,	100,	a,	1
Ag,	236015,	431.10699999999997,	50,	a,	1
Ag,	236016,	447.604,	5,	m,	1
Ag,	236017,	461.56899999999996,	30,	a,	1
Ag,	236018,	466.84799999999996,	6,	m,	1
Ag,	236019,	467.76000000000005,	30,	a,	1
Ag,	236020,	484.782,	30,	a,	1
Ag,	236021,	487.418,	100,	a,	1
Ag,	236022,	520.90699999999993,	100,	m,	1
Ag,	236023,	546.549,	100,	m,	1
Ag,	236024,	547.155,	10,	m,	1
Ag,	236025,	554.567,	20,	a,	1
Ag,	236026,	768.778,	32,	m,	1
Ag,	236027,	800.54,	25,	c,	2
Ag,	236028,	825.47,	15,	c,	2
Ag,	236029,	827.35200000000009,	50,	m,	1
Ag,	236030,	832.43999999999994,	20,	c,	2
Ag,	236031,	837.95,	15,	c,	2
Ag,	236032,	840.37999999999988,	25,	c,	2
Ag,	236033,	849.25,	15,	c,	2
Ag,	236034,	864.57,	30,	a,	1
Ag,	236035,	874.76,	12,	c,	2
Ag,	236036,	900.08999999999992,	15,	c,	2
Ag,	236037,	960.1,	1,	m,	1
Al,	236038,	200,	1,	m,	1
Al,	236039,	212.336,	2,	c,	1
Al,	236040,	212.96599999999998,	2,	c,	1
Al,	236041,	213.473,	5,	c,	1
Al,	236042,	214.55599999999998,	10,	c,	1
Al,	236043,	215.07,	30,	c,	1
Al,	236044,	216.038,	10,	c,	1
Al,	236045,	216.458,	0,	,	1
Al,	236046,	216.49200000000002,	5,	c,	1
Al,	236047,	216.88299999999998,	8,	h,	1
Al,	236048,	216.984,	0,	,	1
Al,	236049,	217.407,	8,	h,	1
Al,	236050,	217.74,	20,	c,	1
Al,	236051,	218.1,	30,	c,	1
Al,	236052,	219.91799999999998,	0,	,	1
Al,	236053,	220.462,	10,	h,	1
Al,	236054,	221.006,	12,	h,	1
Al,	236055,	221.013,	0,	,	1
Al,	236056,	225.80100000000002,	8,	h,	1
Al,	236057,	226.346,	60,	h,	1
Al,	236058,	226.37399999999997,	4,	h,	1
Al,	236059,	226.60100000000003,	10,	c,	1
Al,	236060,	226.91,	53,	m,	1
Al,	236061,	226.92199999999997,	15,	h,	1
Al,	236062,	231.10399999999999,	20,	c,	1
Al,	236063,	231.24899999999997,	30,	c,	1
Al,	236064,	231.353,	60,	c,	1
Al,	236065,	231.498,	20,	c,	1
Al,	236066,	231.748,	100,	c,	1
Al,	236067,	231.906,	30,	c,	1
Al,	236068,	232.156,	300,	c,	1
Al,	236069,	236.705,	45,	m,	1
Al,	236070,	236.76100000000002,	200,	c,	1
Al,	236071,	236.811,	200,	c,	1
Al,	236072,	236.93,	500,	c,	1
Al,	236073,	237.023,	300,	c,	1
Al,	236074,	237.073,	60,	c,	1
Al,	236075,	237.20700000000002,	3,	a,	1
Al,	236076,	237.31199999999998,	90,	m,	1
Al,	236077,	237.33499999999998,	16,	m,	1
Al,	236078,	237.35700000000003,	200,	c,	1
Al,	236079,	237.45,	20,	c,	1
Al,	236080,	237.84,	4,	m,	1
Al,	236081,	251.331,	30,	c,	1
Al,	236082,	251.92199999999997,	20,	c,	1
Al,	236083,	251.952,	2,	c,	1
Al,	236084,	256.798,	24,	m,	1
Al,	236085,	257.51,	48,	m,	1
Al,	236086,	257.54,	4,	m,	1
Al,	236087,	265.243,	15,	m,	1
Al,	236088,	265.741,	10,	c,	1
Al,	236089,	266.039,	20,	m,	1
Al,	236090,	266.91700000000003,	500,	c,	2
Al,	236091,	274.098,	20,	c,	1
Al,	236092,	274.807,	10,	c,	1
Al,	236093,	283.786,	5,	c,	1
Al,	236094,	283.796,	100,	c,	1
Al,	236095,	284.01,	100,	c,	1
Al,	236096,	284.021,	5,	c,	1
Al,	236097,	289.423,	10,	c,	1
Al,	236098,	290.226,	5,	c,	1
Al,	236099,	291.327,	10,	c,	1
Al,	236100,	305.008,	500,	c,	1
Al,	236101,	305.46799999999996,	30,	c,	1
Al,	236102,	305.714,	1000,	c,	1
Al,	236103,	305.903,	20,	c,	1
Al,	236104,	305.992,	20,	c,	1
Al,	236105,	306.429,	100,	c,	1
Al,	236106,	306.615,	30,	c,	1
Al,	236107,	308.21500000000003,	320,	m,	1
Al,	236108,	309.271,	650,	m,	1
Al,	236109,	309.284,	5000,	c,	1
Al,	236110,	343.935,	60,	c,	1
Al,	236111,	344.364,	300,	c,	1
Al,	236112,	344.48699999999997,	60,	c,	1
Al,	236113,	345.26599999999996,	5,	c,	1
Al,	236114,	345.822,	60,	c,	1
Al,	236115,	347.981,	30,	c,	1
Al,	236116,	348.26300000000003,	30,	c,	1
Al,	236117,	393.2,	30,	c,	1
Al,	236118,	393.568,	20,	c,	1
Al,	236119,	394.401,	450,	m,	1
Al,	236120,	396.152,	900,	m,	1
Al,	236121,	510.75200000000007,	400,	c,	1
Al,	236122,	510.794,	60,	c,	1
Al,	236123,	528.021,	60,	c,	2
Al,	236124,	528.37700000000007,	200,	c,	2
Al,	236125,	528.585,	60,	c,	2
Al,	236126,	531.232,	30,	c,	2
Al,	236127,	531.607,	100,	c,	2
Al,	236128,	537.184,	60,	c,	2
Al,	236129,	555.706,	500,	c,	1
Al,	236130,	555.795,	200,	c,	1
Al,	236131,	559.323,	500,	c,	2
Al,	236132,	669.60200000000009,	650,	c,	1
Al,	236133,	669.867,	500,	c,	1
Al,	236134,	799.30500000000006,	30,	c,	1
Al,	236135,	800.319,	100,	c,	1
Al,	236136,	806.597,	60,	c,	1
Al,	236137,	807.53500000000008,	200,	c,	1
Al,	236138,	807.629,	5,	c,	1
Al,	236139,	835.43500000000006,	500,	c,	2
Al,	236140,	877.287,	650,	c,	1
Al,	236141,	877.39,	700,	c,	1
Al,	236142,	882.891,	200,	c,	1
Al,	236143,	884.128,	500,	c,	1
Al,	236144,	891.29,	100,	c,	1
Al,	236145,	89.2356,	300,	c,	1
Al,	236146,	89.255,	20,	c,	1
Al,	236147,	90.8991,	30,	c,	1
Al,	236148,	91.3995,	60,	c,	1
Al,	236149,	91.6326,	5,	c,	1
Al,	236150,	960.1,	1,	m,	1
Am,	236151,	200,	1,	m,	1
Am,	236152,	281.528,	1000,	a,	2
Am,	236153,	283.226,	5000,	a,	2
Am,	236154,	288.851,	1000,	a,	2
Am,	236155,	292.059,	1000,	a,	2
Am,	236156,	295.039,	500,	a,	2
Am,	236157,	296.671,	1000,	a,	2
Am,	236158,	296.929,	1000,	a,	2
Am,	236159,	298.724,	1000,	a,	2
Am,	236160,	300.425,	1000,	a,	2
Am,	236161,	302.799,	500,	a,	2
Am,	236162,	303.836,	500,	a,	2
Am,	236163,	312.049,	2000,	a,	2
Am,	236164,	328.232,	500,	a,	2
Am,	236165,	328.232,	500,	a,	2
Am,	236166,	336.255,	500,	a,	2
Am,	236167,	345.21,	1000,	a,	2
Am,	236168,	348.331,	5000,	a,	2
Am,	236169,	351.01300000000003,	5000,	c,	1
Am,	236170,	353.09499999999997,	1000,	c,	1
Am,	236171,	356.916,	5000,	c,	1
Am,	236172,	360.341,	500,	c,	1
Am,	236173,	367.312,	5000,	c,	1
Am,	236174,	369.642,	1000,	a,	1
Am,	236175,	377.75,	5000,	a,	2
Am,	236176,	392.625,	5000,	a,	2
Am,	236177,	395.258,	1000,	a,	2
Am,	236178,	403.637,	500,	a,	2
Am,	236179,	408.929,	5000,	a,	2
Am,	236180,	418.82,	1000,	a,	2
Am,	236181,	426.555,	1000,	c,	2
Am,	236182,	428.92600000000004,	5000,	c,	2
Am,	236183,	432.457,	2000,	a,	2
Am,	236184,	444.13599999999997,	2000,	a,	2
Am,	236185,	450.945,	5000,	a,	2
Am,	236186,	457.559,	5000,	a,	2
Am,	236187,	459.331,	1000,	a,	2
Am,	236188,	466.279,	5000,	c,	1
Am,	236189,	468.16499999999996,	2000,	c,	1
Am,	236190,	469.96999999999997,	2000,	a,	2
Am,	236191,	470.68,	1000,	c,	1
Am,	236192,	487.22200000000004,	2000,	a,	2
Am,	236193,	502.096,	1000,	a,	2
Am,	236194,	540.262,	1000,	c,	1
Am,	236195,	542.47,	1000,	c,	1
Am,	236196,	558.421,	1000,	a,	2
Am,	236197,	559.813,	1000,	c,	1
Am,	236198,	960.1,	1,	m,	1
Ar,	236199,	200,	1,	c,	1
Ar,	236200,	221.30700000000002,	6,	m,	2
Ar,	236201,	221.887,	6,	m,	2
Ar,	236202,	222.29299999999998,	6,	m,	2
Ar,	236203,	222.775,	6,	m,	2
Ar,	236204,	228.061,	6,	m,	3
Ar,	236205,	228.221,	1,	m,	3
Ar,	236206,	228.78000000000003,	6,	m,	2
Ar,	236207,	230.916,	4,	m,	2
Ar,	236208,	231.37399999999997,	6,	m,	2
Ar,	236209,	231.631,	1,	m,	2
Ar,	236210,	233.14499999999998,	6,	m,	2
Ar,	236211,	233.779,	6,	m,	2
Ar,	236212,	234.517,	1,	m,	3
Ar,	236213,	235.04899999999998,	2,	m,	2
Ar,	236214,	236.41500000000002,	4,	m,	2
Ar,	236215,	240.44,	1,	m,	2
Ar,	236216,	248.087,	1,	m,	2
Ar,	236217,	248.411,	1,	m,	3
Ar,	236218,	251.55900000000003,	1,	m,	2
Ar,	236219,	251.68099999999998,	2,	m,	2
Ar,	236220,	254.47199999999998,	4,	m,	2
Ar,	236221,	256.212,	2,	m,	4
Ar,	236222,	263.19,	1,	m,	3
Ar,	236223,	264.034,	1,	m,	4
Ar,	236224,	264.729,	1,	m,	2
Ar,	236225,	267.838,	1,	m,	3
Ar,	236226,	270.82800000000003,	4,	m,	2
Ar,	236227,	272.48400000000004,	1,	m,	3
Ar,	236228,	273.25300000000004,	2,	m,	2
Ar,	236229,	274.479,	2,	m,	2
Ar,	236230,	275.392,	1,	m,	2
Ar,	236231,	275.79200000000003,	1,	m,	4
Ar,	236232,	276.974,	2,	m,	2
Ar,	236233,	278.896,	1,	m,	4
Ar,	236234,	280.616,	4,	m,	2
Ar,	236235,	280.944,	1,	m,	4
Ar,	236236,	286.585,	2,	m,	2
Ar,	236237,	289.161,	4,	m,	2
Ar,	236238,	289.675,	2,	m,	2
Ar,	236239,	292.466,	2,	m,	2
Ar,	236240,	293.149,	2,	m,	2
Ar,	236241,	294.289,	1,	m,	2
Ar,	236242,	317.296,	1,	m,	2
Ar,	236243,	320.039,	1,	m,	2
Ar,	236244,	323.44899999999996,	1,	m,	1
Ar,	236245,	325.758,	1,	m,	1
Ar,	236246,	331.935,	3,	m,	1
Ar,	236247,	332.55,	1,	m,	1
Ar,	236248,	337.348,	3,	m,	1
Ar,	236249,	339.278,	1,	m,	1
Ar,	236250,	339.375,	2,	m,	2
Ar,	236251,	346.108,	3,	m,	4
Ar,	236252,	351.43899999999996,	1,	m,	2
Ar,	236253,	354.558,	3,	m,	2
Ar,	236254,	354.584,	1,	m,	2
Ar,	236255,	355.431,	3,	m,	1
Ar,	236256,	355.601,	1,	m,	2
Ar,	236257,	356.76599999999996,	3,	m,	1
Ar,	236258,	357.229,	3,	m,	1
Ar,	236259,	357.662,	3,	m,	2
Ar,	236260,	358.844,	3,	m,	2
Ar,	236261,	360.652,	10,	m,	1
Ar,	236262,	363.268,	3,	m,	1
Ar,	236263,	363.446,	3,	m,	1
Ar,	236264,	364.983,	8,	m,	1
Ar,	236265,	367.067,	30,	m,	1
Ar,	236266,	367.524,	30,	m,	1
Ar,	236267,	369.089,	30,	m,	1
Ar,	236268,	377.037,	40,	m,	1
Ar,	236269,	378.136,	30,	m,	1
Ar,	236270,	383.46799999999996,	80,	m,	1
Ar,	236271,	385.057,	40,	m,	2
Ar,	236272,	389.466,	30,	m,	1
Ar,	236273,	389.986,	10,	m,	2
Ar,	236274,	394.75,	100,	m,	1
Ar,	236275,	394.898,	200,	m,	1
Ar,	236276,	401.386,	20,	m,	2
Ar,	236277,	404.289,	8,	m,	2
Ar,	236278,	404.442,	120,	m,	1
Ar,	236279,	404.596,	15,	m,	1
Ar,	236280,	407.201,	15,	m,	2
Ar,	236281,	410.39099999999996,	20,	m,	2
Ar,	236282,	413.17299999999994,	8,	m,	2
Ar,	236283,	415.45,	8,	m,	2
Ar,	236284,	415.85900000000004,	120,	m,	1
Ar,	236285,	416.418,	100,	m,	1
Ar,	236286,	418.188,	100,	m,	1
Ar,	236287,	419.071,	60,	m,	1
Ar,	236288,	419.10299999999995,	120,	m,	1
Ar,	236289,	419.832,	120,	m,	1
Ar,	236290,	420.06800000000004,	120,	m,	1
Ar,	236291,	425.11899999999997,	80,	m,	1
Ar,	236292,	425.936,	120,	m,	1
Ar,	236293,	426.629,	120,	m,	1
Ar,	236294,	426.65299999999996,	20,	m,	2
Ar,	236295,	427.217,	120,	m,	1
Ar,	236296,	427.75200000000007,	8,	m,	2
Ar,	236297,	430.01000000000005,	120,	m,	1
Ar,	236298,	433.203,	8,	m,	2
Ar,	236299,	433.35600000000005,	100,	m,	1
Ar,	236300,	433.534,	80,	m,	1
Ar,	236301,	434.517,	100,	m,	1
Ar,	236302,	434.80600000000004,	50,	m,	2
Ar,	236303,	436.379,	8,	m,	1
Ar,	236304,	437.133,	8,	m,	2
Ar,	236305,	437.97299999999996,	8,	m,	2
Ar,	236306,	442.399,	8,	m,	1
Ar,	236307,	442.6,	30,	m,	2
Ar,	236308,	443.01899999999995,	10,	m,	2
Ar,	236309,	443.099,	8,	m,	2
Ar,	236310,	448.184,	8,	m,	2
Ar,	236311,	451.073,	100,	m,	1
Ar,	236312,	452.23199999999997,	80,	m,	1
Ar,	236313,	454.505,	20,	m,	2
Ar,	236314,	457.93500000000006,	8,	m,	2
Ar,	236315,	458.929,	8,	m,	1
Ar,	236316,	458.98999999999995,	15,	m,	2
Ar,	236317,	459.61,	100,	m,	1
Ar,	236318,	460.957,	30,	m,	2
Ar,	236319,	462.84399999999994,	100,	m,	1
Ar,	236320,	464.21400000000006,	80,	m,	1
Ar,	236321,	465.78999999999996,	15,	m,	2
Ar,	236322,	470.23199999999997,	120,	m,	1
Ar,	236323,	472.687,	20,	m,	2
Ar,	236324,	473.59,	40,	m,	2
Ar,	236325,	474.68199999999996,	8,	m,	1
Ar,	236326,	475.294,	15,	m,	1
Ar,	236327,	476.48699999999997,	15,	m,	2
Ar,	236328,	476.867,	15,	m,	1
Ar,	236329,	480.60200000000003,	50,	m,	2
Ar,	236330,	483.669,	15,	m,	1
Ar,	236331,	484.78999999999996,	8,	m,	2
Ar,	236332,	487.62600000000003,	20,	m,	1
Ar,	236333,	487.986,	30,	m,	2
Ar,	236334,	488.79499999999996,	20,	m,	1
Ar,	236335,	489.46899999999994,	15,	m,	1
Ar,	236336,	492.104,	8,	m,	1
Ar,	236337,	495.675,	10,	m,	1
Ar,	236338,	498.99399999999997,	8,	m,	1
Ar,	236339,	500.933,	20,	m,	2
Ar,	236340,	504.88100000000003,	50,	m,	1
Ar,	236341,	505.418,	30,	m,	1
Ar,	236342,	506.008,	50,	m,	1
Ar,	236343,	506.204,	20,	m,	2
Ar,	236344,	507.308,	20,	m,	1
Ar,	236345,	514.537,	20,	m,	2
Ar,	236346,	515.139,	20,	m,	1
Ar,	236347,	516.228,	50,	m,	1
Ar,	236348,	518.77299999999991,	80,	m,	2
Ar,	236349,	762.886,	50,	h,	1
Ar,	236350,	763.51,	500,	h,	1
Ar,	236351,	767.004,	50,	h,	1
Ar,	236352,	772.376,	200,	h,	1
Ar,	236353,	772.421,	200,	h,	1
Ar,	236354,	789.107,	100,	h,	1
Ar,	236355,	794.818,	400,	h,	1
Ar,	236356,	795.699,	10,	h,	1
Ar,	236357,	800.616,	600,	h,	1
Ar,	236358,	801.479,	800,	h,	1
Ar,	236359,	803.723,	20,	h,	1
Ar,	236360,	804.613,	50,	h,	1
Ar,	236361,	805.331,	100,	h,	1
Ar,	236362,	806.66000000000008,	20,	h,	1
Ar,	236363,	807.96800000000007,	20,	h,	1
Ar,	236364,	809.40600000000006,	20,	h,	1
Ar,	236365,	810.36899999999991,	2000,	h,	1
Ar,	236366,	811.53100000000006,	5000,	h,	1
Ar,	236367,	811.918,	50,	h,	1
Ar,	236368,	817.884,	40,	h,	1
Ar,	236369,	817.896,	20,	h,	1
Ar,	236370,	820.342,	20,	h,	1
Ar,	236371,	825.507,	50,	h,	1
Ar,	236372,	826.45300000000009,	1000,	h,	1
Ar,	236373,	833.22099999999989,	20,	h,	1
Ar,	236374,	838.473,	60,	h,	1
Ar,	236375,	839.22800000000007,	80,	h,	1
Ar,	236376,	839.93500000000006,	20,	h,	1
Ar,	236377,	840.82099999999991,	2000,	h,	1
Ar,	236378,	842.46499999999992,	2000,	h,	1
Ar,	236379,	844.344,	20,	h,	1
Ar,	236380,	849.03,	40,	h,	1
Ar,	236381,	852.1450000000001,	2000,	h,	1
Ar,	236382,	860.57800000000009,	150,	h,	1
Ar,	236383,	862.04699999999991,	100,	h,	1
Ar,	236384,	866.7940000000001,	400,	h,	1
Ar,	236385,	867.84300000000007,	60,	h,	1
Ar,	236386,	873.6629999999999,	20,	h,	1
Ar,	236387,	876.17199999999991,	200,	h,	1
Ar,	236388,	877.186,	100,	i,	1
Ar,	236389,	878.45900000000006,	30,	h,	1
Ar,	236390,	879.9129999999999,	100,	h,	1
Ar,	236391,	884.082,	20,	h,	1
Ar,	236392,	884.997,	150,	h,	1
Ar,	236393,	896.219,	40,	h,	1
Ar,	236394,	906.677,	40,	h,	1
Ar,	236395,	907.33400000000006,	50,	h,	1
Ar,	236396,	907.542,	60,	h,	1
Ar,	236397,	912.29699999999991,	500,	h,	1
Ar,	236398,	919.46800000000007,	150,	h,	1
Ar,	236399,	919.8610000000001,	50,	h,	1
Ar,	236400,	922.45,	1000,	h,	1
Ar,	236401,	929.158,	100,	h,	1
Ar,	236402,	935.42199999999991,	200,	h,	1
Ar,	236403,	940.269,	20,	h,	1
Ar,	236404,	960.1,	1,	m,	1
As,	236405,	189.042,	2000,	a,	1
As,	236406,	191.294,	200,	e,	2
As,	236407,	191.721,	20,	a,	1
As,	236408,	193.759,	5500,	m,	1
As,	236409,	195.882,	20,	a,	1
As,	236410,	195.89100000000002,	40,	a,	1
As,	236411,	197.262,	6000,	m,	1
As,	236412,	199.035,	3700,	m,	1
As,	236413,	199.113,	1000,	m,	1
As,	236414,	199.488,	20,	a,	1
As,	236415,	199.543,	510,	m,	1
As,	236416,	200.078,	50,	e,	2
As,	236417,	200.254,	20,	a,	1
As,	236418,	200.256,	50,	e,	2
As,	236419,	200.334,	4400,	m,	1
As,	236420,	200.919,	580,	m,	1
As,	236421,	201.004,	20,	a,	1
As,	236422,	201.276,	15,	a,	1
As,	236423,	201.332,	400,	m,	1
As,	236424,	204.757,	50,	a,	1
As,	236425,	206.536,	50,	a,	1
As,	236426,	206.711,	20,	a,	1
As,	236427,	206.978,	30,	a,	1
As,	236428,	208.525,	30,	a,	1
As,	236429,	208.974,	6,	a,	1
As,	236430,	211.29899999999998,	100,	a,	1
As,	236431,	213.38000000000002,	50,	a,	1
As,	236432,	214.408,	100,	a,	1
As,	236433,	216.552,	50,	m,	1
As,	236434,	217.62600000000003,	5,	a,	1
As,	236435,	218.294,	20,	a,	1
As,	236436,	220.59699999999998,	15,	a,	1
As,	236437,	222.86599999999999,	20,	a,	1
As,	236438,	226.67,	25,	a,	1
As,	236439,	227.13600000000002,	380,	m,	1
As,	236440,	228.81199999999998,	260,	m,	1
As,	236441,	234.40300000000002,	16,	m,	1
As,	236442,	234.984,	260,	m,	1
As,	236443,	236.967,	50,	m,	1
As,	236444,	237.077,	40,	m,	1
As,	236445,	238.118,	40,	m,	1
As,	236446,	243.723,	11,	m,	1
As,	236447,	245.65300000000002,	36,	m,	1
As,	236448,	249.291,	44,	m,	1
As,	236449,	274.5,	44,	m,	1
As,	236450,	278.022,	140,	m,	1
As,	236451,	283.04499999999996,	200,	s,	2
As,	236452,	286.044,	90,	m,	1
As,	236453,	288.451,	200,	s,	2
As,	236454,	289.871,	20,	m,	1
As,	236455,	292.615,	500,	s,	3
As,	236456,	295.96999999999997,	500,	s,	2
As,	236457,	298.188,	500,	s,	3
As,	236458,	299.099,	30,	m,	1
As,	236459,	303.28499999999997,	8,	m,	1
As,	236460,	305.346,	300,	s,	2
As,	236461,	305.808,	300,	s,	2
As,	236462,	307.53200000000004,	20,	a,	1
As,	236463,	311.663,	500,	s,	2
As,	236464,	311.96,	4,	m,	2
As,	236465,	374.977,	300,	s,	2
As,	236466,	384.28200000000004,	200,	s,	2
As,	236467,	392.246,	500,	s,	3
As,	236468,	394.87399999999997,	200,	s,	2
As,	236469,	400.634,	200,	s,	2
As,	236470,	403.101,	500,	s,	3
As,	236471,	403.245,	500,	s,	3
As,	236472,	411.985,	200,	s,	2
As,	236473,	424.326,	300,	s,	2
As,	236474,	431.58599999999996,	200,	s,	2
As,	236475,	432.41,	200,	s,	2
As,	236476,	433.68500000000006,	300,	s,	2
As,	236477,	435.225,	500,	s,	2
As,	236478,	435.302,	200,	s,	2
As,	236479,	437.13800000000003,	200,	s,	2
As,	236480,	441.36400000000003,	200,	s,	2
As,	236481,	442.738,	500,	s,	2
As,	236482,	443.17299999999994,	500,	s,	2
As,	236483,	446.66,	300,	s,	2
As,	236484,	447.46000000000004,	500,	s,	2
As,	236485,	449.459,	500,	s,	2
As,	236486,	453.997,	500,	s,	2
As,	236487,	454.37600000000003,	500,	s,	2
As,	236488,	454.92299999999994,	500,	s,	2
As,	236489,	455.23699999999997,	200,	s,	2
As,	236490,	460.27299999999997,	500,	s,	2
As,	236491,	460.746,	500,	s,	2
As,	236492,	462.78000000000003,	500,	s,	2
As,	236493,	463.014,	500,	s,	2
As,	236494,	467.27,	200,	s,	2
As,	236495,	470.782,	500,	s,	2
As,	236496,	473.092,	500,	s,	2
As,	236497,	488.87399999999997,	200,	s,	2
As,	236498,	498.56000000000006,	200,	s,	2
As,	236499,	504.331,	50,	a,	1
As,	236500,	506.89799999999997,	100,	a,	1
As,	236501,	509.959,	60,	a,	1
As,	236502,	510.35299999999995,	20,	a,	1
As,	236503,	510.555,	30,	a,	1
As,	236504,	510.58000000000004,	500,	s,	2
As,	236505,	510.78000000000003,	500,	s,	2
As,	236506,	512.134,	100,	a,	1
As,	236507,	513.078,	80,	a,	1
As,	236508,	514.163,	100,	a,	1
As,	236509,	519.62,	50,	a,	1
As,	236510,	521.02299999999991,	20,	a,	1
As,	236511,	523.138,	150,	e,	2
As,	236512,	533.12299999999993,	200,	e,	2
As,	236513,	536.354,	60,	a,	1
As,	236514,	540.813,	100,	a,	1
As,	236515,	545.132,	150,	a,	1
As,	236516,	549.77299999999991,	100,	e,	2
As,	236517,	555.809,	150,	e,	2
As,	236518,	611.007,	150,	e,	2
As,	236519,	617.027,	200,	e,	2
As,	236520,	633.894,	40,	a,	1
As,	236521,	651.174,	80,	e,	2
As,	236522,	709.22700000000009,	80,	e,	2
As,	236523,	710.272,	80,	e,	2
As,	236524,	741.00200000000007,	8,	a,	1
As,	236525,	796.027,	30,	a,	1
As,	236526,	799.053,	100,	e,	2
As,	236527,	804.295,	8,	a,	1
As,	236528,	824.21499999999992,	20,	a,	1
As,	236529,	830.561,	50,	a,	1
As,	236530,	842.891,	100,	a,	1
As,	236531,	854.16000000000008,	50,	a,	1
As,	236532,	856.47099999999989,	100,	a,	1
As,	236533,	865.414,	100,	a,	1
As,	236534,	882.173,	150,	a,	1
As,	236535,	886.966,	100,	a,	1
As,	236536,	893.55599999999993,	50,	a,	1
As,	236537,	899.305,	20,	a,	1
As,	236538,	913.47800000000007,	50,	a,	1
As,	236539,	926.72800000000007,	150,	a,	1
As,	236540,	930.061,	250,	a,	1
As,	236541,	959.79500000000007,	300,	a,	1
As,	236542,	960.1,	1,	m,	1
At,	236543,	200,	1,	m,	1
At,	236544,	216.225,	1,	m,	1
At,	236545,	224.401,	1,	m,	1
At,	236546,	960.1,	1,	m,	1
Au,	236547,	201.20499999999998,	1100,	m,	1
Au,	236548,	202.139,	260,	m,	1
Au,	236549,	204.454,	50,	c,	2
Au,	236550,	208.209,	150,	c,	2
Au,	236551,	211.06799999999998,	60,	c,	2
Au,	236552,	212.529,	30,	c,	2
Au,	236553,	212.663,	15,	c,	1
Au,	236554,	217.075,	20,	c,	1
Au,	236555,	220.135,	25,	c,	2
Au,	236556,	228.33200000000002,	25,	c,	2
Au,	236557,	235.26500000000002,	18,	m,	1
Au,	236558,	237.62800000000001,	20,	c,	1
Au,	236559,	238.775,	12,	m,	1
Au,	236560,	240.488,	5,	c,	1
Au,	236561,	242.795,	260,	m,	1
Au,	236562,	249.11999999999998,	6,	c,	1
Au,	236563,	251.052,	7,	c,	1
Au,	236564,	254.419,	1,	m,	1
Au,	236565,	259.004,	3,	m,	1
Au,	236566,	264.149,	26,	m,	1
Au,	236567,	267.59499999999997,	340,	m,	1
Au,	236568,	268.871,	0,	m,	1
Au,	236569,	270.089,	0,	m,	1
Au,	236570,	274.826,	110,	m,	1
