0,	183.328,	0
1,	183.332,	12
2,	183.337,	10
3,	183.341,	31
4,	183.346,	27
5,	183.351,	31
6,	183.355,	26
7,	183.360,	31
8,	183.364,	12
9,	183.369,	9
10,	183.374,	33
11,	183.378,	44
12,	183.383,	53
13,	183.387,	24
14,	183.392,	20
15,	183.397,	34
16,	183.401,	20
17,	183.406,	-2
18,	183.410,	32
19,	183.415,	4
20,	183.420,	-2
21,	183.424,	49
22,	183.429,	9
23,	183.433,	14
24,	183.438,	3
25,	183.443,	1
26,	183.447,	9
27,	183.452,	15
28,	183.456,	11
29,	183.461,	16
30,	183.465,	28
31,	183.470,	20
32,	183.475,	19
33,	183.479,	49
34,	183.484,	17
35,	183.488,	5
36,	183.493,	4
37,	183.498,	-1
38,	183.502,	26
39,	183.507,	50
40,	183.511,	10
41,	183.516,	22
42,	183.521,	52
43,	183.525,	38
44,	183.530,	27
45,	183.534,	28
46,	183.539,	34
47,	183.544,	9
48,	183.548,	1
49,	183.553,	13
50,	183.557,	12
51,	183.562,	12
52,	183.567,	50
53,	183.571,	45
54,	183.576,	55
55,	183.580,	33
56,	183.585,	2
57,	183.590,	0
58,	183.594,	33
59,	183.599,	-1
60,	183.603,	21
61,	183.608,	2
62,	183.612,	21
63,	183.617,	26
64,	183.622,	0
65,	183.626,	22
66,	183.631,	2
67,	183.635,	17
68,	183.640,	39
69,	183.645,	14
70,	183.649,	44
71,	183.654,	11
72,	183.658,	0
73,	183.663,	13
74,	183.668,	22
75,	183.672,	79
76,	183.677,	-3
77,	183.681,	-5
78,	183.686,	61
79,	183.691,	41
80,	183.695,	32
81,	183.700,	13
82,	183.704,	66
83,	183.709,	13
84,	183.714,	62
85,	183.718,	34
86,	183.723,	103
87,	183.727,	83
88,	183.732,	16
89,	183.736,	9
90,	183.741,	56
91,	183.746,	37
92,	183.750,	-1
93,	183.755,	5
94,	183.759,	30
95,	183.764,	90
96,	183.769,	24
97,	183.773,	52
98,	183.778,	53
99,	183.782,	43
100,	183.787,	2
101,	183.792,	39
102,	183.796,	60
103,	183.801,	50
104,	183.805,	7
105,	183.810,	36
106,	183.815,	23
107,	183.819,	-5
108,	183.824,	19
109,	183.828,	27
110,	183.833,	24
111,	183.838,	22
112,	183.842,	52
113,	183.847,	44
114,	183.851,	9
115,	183.856,	22
116,	183.860,	25
117,	183.865,	-6
118,	183.870,	29
119,	183.874,	21
120,	183.879,	0
121,	183.883,	29
122,	183.888,	78
123,	183.893,	16
124,	183.897,	14
125,	183.902,	2
126,	183.906,	56
127,	183.911,	87
128,	183.916,	30
129,	183.920,	65
130,	183.925,	21
131,	183.929,	41
132,	183.934,	48
133,	183.939,	7
134,	183.943,	52
135,	183.948,	71
136,	183.952,	25
137,	183.957,	1
138,	183.962,	102
139,	183.966,	110
140,	183.971,	13
141,	183.975,	23
142,	183.980,	76
143,	183.985,	95
144,	183.989,	18
145,	183.994,	0
146,	183.998,	126
147,	184.003,	97
148,	184.007,	28
149,	184.012,	33
150,	184.017,	100
151,	184.021,	27
152,	184.026,	46
153,	184.030,	14
154,	184.035,	58
155,	184.040,	36
156,	184.044,	35
157,	184.049,	27
158,	184.053,	16
159,	184.058,	9
160,	184.063,	7
161,	184.067,	17
162,	184.072,	46
163,	184.076,	53
164,	184.081,	-2
165,	184.086,	5
166,	184.090,	12
167,	184.095,	15
168,	184.099,	8
169,	184.104,	-6
170,	184.109,	30
171,	184.113,	13
172,	184.118,	43
173,	184.122,	46
174,	184.127,	59
175,	184.131,	11
176,	184.136,	-3
177,	184.141,	34
178,	184.145,	50
179,	184.150,	33
180,	184.154,	-4
181,	184.159,	43
182,	184.164,	36
183,	184.168,	26
184,	184.173,	74
185,	184.177,	10
186,	184.182,	16
187,	184.187,	73
188,	184.191,	0
189,	184.196,	28
190,	184.200,	96
191,	184.205,	112
192,	184.210,	22
193,	184.214,	-4
194,	184.219,	53
195,	184.223,	52
196,	184.228,	15
197,	184.233,	2
198,	184.237,	30
199,	184.242,	88
200,	184.246,	9
201,	184.251,	-1
202,	184.255,	75
203,	184.260,	80
204,	184.265,	65
205,	184.269,	40
206,	184.274,	58
207,	184.278,	30
208,	184.283,	-3
209,	184.288,	20
210,	184.292,	21
211,	184.297,	45
212,	184.301,	-5
213,	184.306,	-1
214,	184.311,	26
215,	184.315,	26
216,	184.320,	28
217,	184.324,	20
218,	184.329,	28
219,	184.334,	45
220,	184.338,	41
221,	184.343,	24
222,	184.347,	10
223,	184.352,	5
224,	184.357,	26
225,	184.361,	40
226,	184.366,	45
227,	184.370,	17
228,	184.375,	28
229,	184.379,	12
230,	184.384,	19
231,	184.389,	36
232,	184.393,	-3
233,	184.398,	24
234,	184.402,	23
235,	184.407,	20
236,	184.412,	28
237,	184.416,	6
238,	184.421,	55
239,	184.425,	28
240,	184.430,	29
241,	184.435,	32
242,	184.439,	41
243,	184.444,	66
244,	184.448,	17
245,	184.453,	1
246,	184.458,	49
247,	184.462,	23
248,	184.467,	41
249,	184.471,	5
250,	184.476,	32
251,	184.481,	19
252,	184.485,	6
253,	184.490,	4
254,	184.494,	2
255,	184.499,	19
256,	184.504,	44
257,	184.508,	35
258,	184.513,	45
259,	184.517,	15
260,	184.522,	11
261,	184.526,	34
262,	184.531,	48
263,	184.536,	62
264,	184.540,	24
265,	184.545,	32
266,	184.549,	22
267,	184.554,	76
268,	184.559,	47
269,	184.563,	22
270,	184.568,	80
271,	184.572,	33
272,	184.577,	28
273,	184.582,	20
274,	184.586,	42
275,	184.591,	34
276,	184.595,	10
277,	184.600,	34
278,	184.605,	29
279,	184.609,	14
280,	184.614,	-3
281,	184.618,	-3
282,	184.623,	65
283,	184.628,	35
284,	184.632,	24
285,	184.637,	33
286,	184.641,	52
287,	184.646,	27
288,	184.650,	-2
289,	184.655,	-3
290,	184.660,	29
291,	184.664,	88
292,	184.669,	8
293,	184.673,	29
294,	184.678,	79
295,	184.683,	107
296,	184.687,	19
297,	184.692,	26
298,	184.696,	111
299,	184.701,	75
300,	184.706,	24
301,	184.710,	10
302,	184.715,	69
303,	184.719,	74
304,	184.724,	0
305,	184.729,	67
306,	184.733,	51
307,	184.738,	34
308,	184.742,	6
309,	184.747,	-2
310,	184.752,	34
311,	184.756,	73
312,	184.761,	48
313,	184.765,	40
314,	184.770,	91
315,	184.774,	50
316,	184.779,	20
317,	184.784,	11
318,	184.788,	106
319,	184.793,	113
320,	184.797,	35
321,	184.802,	41
322,	184.807,	107
323,	184.811,	149
324,	184.816,	125
325,	184.820,	101
326,	184.825,	127
327,	184.830,	119
328,	184.834,	74
329,	184.839,	62
330,	184.843,	128
331,	184.848,	91
332,	184.853,	37
333,	184.857,	24
334,	184.862,	82
335,	184.866,	95
336,	184.871,	65
337,	184.876,	20
338,	184.880,	92
339,	184.885,	38
340,	184.889,	64
341,	184.894,	11
342,	184.898,	13
343,	184.903,	92
344,	184.908,	11
345,	184.912,	25
346,	184.917,	83
347,	184.921,	100
348,	184.926,	42
349,	184.931,	82
350,	184.935,	166
351,	184.940,	191
352,	184.944,	184
353,	184.949,	198
354,	184.954,	238
355,	184.958,	247
356,	184.963,	202
357,	184.967,	231
358,	184.972,	251
359,	184.977,	310
360,	184.981,	348
361,	184.986,	274
362,	184.990,	399
363,	184.995,	415
364,	185.000,	386
365,	185.004,	328
366,	185.009,	400
367,	185.013,	341
368,	185.018,	297
369,	185.023,	286
370,	185.027,	222
371,	185.032,	165
372,	185.036,	111
373,	185.041,	113
374,	185.045,	92
375,	185.050,	69
376,	185.055,	37
377,	185.059,	73
378,	185.064,	94
379,	185.068,	120
380,	185.073,	117
381,	185.078,	236
382,	185.082,	421
383,	185.087,	924
384,	185.091,	3002
385,	185.096,	3692
386,	185.101,	3700
387,	185.105,	3706
388,	185.110,	3617
389,	185.114,	3625
390,	185.119,	3722
391,	185.124,	3679
392,	185.128,	3635
